@relation connect-4
@attribute a1 {x,o,b}
@attribute a2 {x,o,b}
@attribute a3 {x,o,b}
@attribute a4 {x,o,b}
@attribute a5 {x,o,b}
@attribute a6 {x,o,b}
@attribute a7 {x,o,b}
@attribute a8 {x,o,b}
@attribute a9 {x,o,b}
@attribute a10 {x,o,b}
@attribute a11 {x,o,b}
@attribute a12 {x,o,b}
@attribute a13 {x,o,b}
@attribute a14 {x,o,b}
@attribute a15 {x,o,b}
@attribute a16 {x,o,b}
@attribute a17 {x,o,b}
@attribute a18 {x,o,b}
@attribute a19 {x,o,b}
@attribute a20 {x,o,b}
@attribute a21 {x,o,b}
@attribute a22 {x,o,b}
@attribute a23 {x,o,b}
@attribute a24 {x,o,b}
@attribute a25 {x,o,b}
@attribute a26 {x,o,b}
@attribute a27 {x,o,b}
@attribute a28 {x,o,b}
@attribute a29 {x,o,b}
@attribute a30 {x,o,b}
@attribute a31 {x,o,b}
@attribute a32 {x,o,b}
@attribute a33 {x,o,b}
@attribute a34 {x,o,b}
@attribute a35 {x,o,b}
@attribute a36 {x,o,b}
@attribute a37 {x,o,b}
@attribute a38 {x,o,b}
@attribute a39 {x,o,b}
@attribute a40 {x,o,b}
@attribute a41 {x,o,b}
@attribute a42 {x,o,b}
@attribute class {win,loss,draw}
@data
b,b,b,b,b,b,b,b,b,b,b,b,x,o,b,b,b,b,x,o,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,win
b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,x,o,x,o,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,win
b,b,b,b,b,b,o,b,b,b,b,b,x,b,b,b,b,b,x,o,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,win
b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,x,o,x,o,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,win
o,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,win
b,b,b,b,b,b,b,b,b,b,b,b,x,b,b,b,b,b,x,o,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,win
b,b,b,b,b,b,x,b,b,b,b,b,o,b,b,b,b,b,x,o,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,draw
b,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,x,o,x,o,x,o,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,win
b,b,b,b,b,b,x,o,b,b,b,b,b,b,b,b,b,b,x,o,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,win
b,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,x,o,x,o,x,o,b,b,b,b,b,b,o,b,b,b,b,b,b,b,b,b,b,b,win
o,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,x,o,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,win
b,b,b,b,b,b,x,b,b,b,b,b,b,b,b,b,b,b,x,o,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,win
x,b,b,b,b,b,b,b,b,b,b,b,o,b,b,b,b,b,x,o,x,o,x,o,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,win
